epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.13486,1.6205,2.95759,1.79142,0.01333,1,0.08156,0.03729,1.92912,2.65111,1.67206,0.000333333,0.000333333,0.000333333
2,2.32201,2.02411,2.8923,1.70485,0.01333,1,0.08156,0.03729,1.92912,2.65111,1.67206,0.0009802,0.0009802,0.0009802
3,3.23778,1.98733,2.87628,1.68772,0.01333,1,0.08156,0.03729,1.92912,2.65111,1.67206,0.00160067,0.00160067,0.00160067
4,4.19544,2.07362,2.99436,1.72149,0.01333,1,0.08156,0.03729,1.92912,2.65111,1.67206,0.0018812,0.0018812,0.0018812
5,5.17764,1.88772,2.92765,1.61032,0.01333,1,0.08156,0.03729,1.92912,2.65111,1.67206,0.0018416,0.0018416,0.0018416
6,6.09399,1.65896,2.76217,1.75466,0.01333,1,0.08156,0.03729,1.92912,2.65111,1.67206,0.001802,0.001802,0.001802
7,7.01286,1.79156,2.74287,1.71685,0.01333,1,0.08156,0.03729,1.92912,2.65111,1.67206,0.0017624,0.0017624,0.0017624
8,7.97227,1.57694,2.89861,1.52132,0.01333,1,0.08156,0.03729,1.92912,2.65111,1.67206,0.0017228,0.0017228,0.0017228
9,8.92258,1.87065,2.90644,1.59893,0.01333,1,0.08156,0.03729,1.92912,2.65111,1.67206,0.0016832,0.0016832,0.0016832
10,9.84706,2.18814,2.99281,1.7943,0.01333,1,0.08156,0.03729,1.92912,2.65111,1.67206,0.0016436,0.0016436,0.0016436
11,10.7662,1.56958,2.87056,1.40714,0.01333,1,0.08156,0.03729,1.92912,2.65111,1.67206,0.001604,0.001604,0.001604
12,11.6715,2.3039,3.06266,1.86423,0.01333,1,0.08156,0.03729,1.92912,2.65111,1.67206,0.0015644,0.0015644,0.0015644
13,12.5734,1.63862,2.80782,1.51385,0.01333,1,0.08156,0.03729,1.92912,2.65111,1.67206,0.0015248,0.0015248,0.0015248
14,13.5966,1.998,3.04431,1.73148,0.01,0.75,0.16965,0.04627,1.79468,3.14425,1.91271,0.0014852,0.0014852,0.0014852
15,14.5582,1.9712,3.18711,1.75608,0.01,0.75,0.16965,0.04627,1.79468,3.14425,1.91271,0.0014456,0.0014456,0.0014456
16,15.5063,1.84506,2.72763,1.79146,0.01,0.75,0.16965,0.04627,1.79468,3.14425,1.91271,0.001406,0.001406,0.001406
17,16.4549,2.26393,3.07808,2.27115,0.01,0.75,0.16965,0.04627,1.79468,3.14425,1.91271,0.0013664,0.0013664,0.0013664
18,17.446,1.83795,2.8358,1.70969,0.01,0.75,0.16965,0.04627,1.79468,3.14425,1.91271,0.0013268,0.0013268,0.0013268
19,18.3773,2.07993,2.78222,1.97528,0.01,0.75,0.16965,0.04627,1.79468,3.14425,1.91271,0.0012872,0.0012872,0.0012872
20,19.329,1.89444,3.02524,1.70358,0.01,0.75,0.16965,0.04627,1.79468,3.14425,1.91271,0.0012476,0.0012476,0.0012476
21,20.2986,1.46012,2.58641,1.58082,0.01,0.75,0.16965,0.04627,1.79468,3.14425,1.91271,0.001208,0.001208,0.001208
22,21.2617,1.91764,2.97198,1.8745,0.01,0.75,0.16965,0.04627,1.79468,3.14425,1.91271,0.0011684,0.0011684,0.0011684
23,22.2376,1.91369,2.83254,1.82832,0.01,0.75,0.16965,0.04627,1.79468,3.14425,1.91271,0.0011288,0.0011288,0.0011288
24,23.1362,1.78314,3.14105,1.62828,0.01,0.75,0.16965,0.04627,1.79468,3.14425,1.91271,0.0010892,0.0010892,0.0010892
25,24.0617,1.8187,3.01211,1.77262,0.01,0.75,0.16965,0.04627,1.79468,3.14425,1.91271,0.0010496,0.0010496,0.0010496
26,25.0772,2.113,3.10525,2.13734,0.01,0.75,0.16965,0.04627,1.79468,3.14425,1.91271,0.00101,0.00101,0.00101
27,26.0266,1.7492,2.8783,1.62951,0.01,0.75,0.16965,0.04627,1.79468,3.14425,1.91271,0.0009704,0.0009704,0.0009704
28,26.9841,1.99151,2.64578,1.89573,0.01167,0.875,0.46785,0.15678,1.97662,2.94463,1.79783,0.0009308,0.0009308,0.0009308
29,27.9025,1.46135,2.61788,1.44662,0.01167,0.875,0.46785,0.15678,1.97662,2.94463,1.79783,0.0008912,0.0008912,0.0008912
30,28.8482,2.0027,2.37264,1.62769,0.01167,0.875,0.46785,0.15678,1.97662,2.94463,1.79783,0.0008516,0.0008516,0.0008516
31,29.7649,1.8454,2.56868,1.62176,0.01167,0.875,0.46785,0.15678,1.97662,2.94463,1.79783,0.000812,0.000812,0.000812
32,30.7063,1.45379,2.68585,1.40619,0.01167,0.875,0.46785,0.15678,1.97662,2.94463,1.79783,0.0007724,0.0007724,0.0007724
33,31.6433,1.0621,2.36129,1.28515,0.01167,0.875,0.46785,0.15678,1.97662,2.94463,1.79783,0.0007328,0.0007328,0.0007328
34,32.6267,1.4151,2.60197,1.40419,0.01167,0.875,0.46785,0.15678,1.97662,2.94463,1.79783,0.0006932,0.0006932,0.0006932
35,33.576,1.89489,2.73427,1.8761,0.01167,0.875,0.46785,0.15678,1.97662,2.94463,1.79783,0.0006536,0.0006536,0.0006536
36,34.4963,1.69852,2.77302,1.5909,0.01167,0.875,0.46785,0.15678,1.97662,2.94463,1.79783,0.000614,0.000614,0.000614
